1,Alexander,Smith,M,22/09/1975,alexander.smith@techdomain.com,22/08/2013,22/03/2022,Desenvolvedor de Software,165168.00,Mannheim,Alemanha
2,Michael,Johnson,M,28/05/1960,michael.johnson@brightwebsolutions.net,10/10/2019,30/08/2022,Eng. de Software,142692.00,Amsterdam,Países Baixos
3,Elijah,Brown,M,20/03/1992,elijah.brown@freshonline.com,16/01/2016,04/01/2023,Analista de Sistemas,221880.00,Atlanta,Estados Unidos
4,Daniel,Taylor,M,09/01/1978,daniel.taylor@proactiveweb.com,14/02/2020,16/02/2023,Arquiteto de Soluções,287700.00,Austin,Estados Unidos
5,Joseph,Miller,M,22/09/1985,joseph.miller@wisedigitalsolutions.com,05/09/2015,14/11/2022,Administrador de Banco de Dados,205476.00,Bangalore,Índia
6,Rafael,Anderson,M,26/06/1991,rafael.anderson@creativetechhub.com,14/02/2021,30/01/2022,Esp. em Segurança da Informação,201540.00,Barcelona,Espanha
7,Felipe,Clark,M,12/07/1966,felipe.clark@secureonlinesolutions.net,27/09/2017,23/12/2022,Gerente de Projeto de TI,292572.00,Berlim,Alemanha
8,Samuel,Harris,M,22/06/1975,samuel.harris@cloudtechmasters.com,30/12/2015,11/10/2022,Analista de Redes,211200.00,Bilbau,Espanha
9,Daniel,Walker,M,10/10/1995,daniel.walker@webproexperts.com,29/03/2021,16/02/2023,Cientista de Dados,252048.00,Boston,Estados Unidos
10,Gustavo,White,M,14/04/1963,gustavo.white@digitaldomainmakers.com,15/06/2015,10/12/2022,Esp. em Cloud Computing,263724.00,Bratislava,Eslováquia
11,Lucas,Jackson,M,26/10/1981,lucas.jackson@innovatewebtech.com,24/01/2014,12/06/2022,Analista de Sistemas,233004.00,Brisbane,Austrália
12,Grace,Hill,F,26/08/1994,grace.hill@techgurusonline.com,27/08/2013,11/06/2022,Arquiteto de Soluções,168624.00,Budapeste,Hungria
13,Elizabeth,Roberts,F,05/01/1982,elizabeth.roberts@websavvysolutions.net,03/01/2013,15/02/2022,Administrador de Banco de Dados,138912.00,Cambridge,Reino Unido
14,Charlotte,Carter,F,18/02/1988,charlotte.carter@futurewebtrends.com,08/05/2020,31/12/2022,Esp. em Segurança da Informação,196416.00,Campinas,Brasil
15,Harper,Hughes,F,08/04/1977,harper.hughes@digitalstrategylab.com,09/06/2015,26/01/2022,Gerente de Projeto de TI,175680.00,Chennai,Índia
16,Lily,Cooper,F,09/11/1972,lily.cooper@webwizardsonline.com,10/12/2022,05/11/2022,Gerente de Infraestrutura de TI,126480.00,Chicago,Estados Unidos
17,Alice,Morgan,F,24/10/1974,alice.morgan@techtrendmakers.com,23/02/2022,29/06/2022,Esp. em Bancos de Dados,125736.00,Coimbra,Portugal
18,Luana,Morris,F,09/04/1993,luana.morris@digitaldomainexperts.net,02/03/2010,06/03/2023,Esp. em Web Design,155448.00,Copenhagen,Dinamarca
19,Giovanna,Reed,F,21/03/1985,giovanna.reed@webmasterysolutions.com,04/08/2013,10/03/2022,Analista de Segurança da Informação,160368.00,Copenhague,Dinamarca
20,Fernanda,Butler,F,19/03/1991,fernanda.butler@prowebsolutions.net,19/03/2022,11/02/2022,Esp. em Suporte Técnico,256176.00,Cracóvia,Polônia
21,Letícia,Silva,F,06/01/1973,letícia.silva@digitaldomainmasters.com,15/01/2020,19/10/2022,Desenvolvedor Front-end,224568.00,Curitiba,Brasil
22,Carolina,Santos,F,25/06/1984,carolina.santos@webprogurus.net,18/04/2012,08/10/2022,Desenvolvedor Back-end,225900.00,Dallas,Estados Unidos
23,Elizabeth,Silva,F,11/01/1960,elizabeth.silva@creativetechhub.com,23/08/2015,24/07/2022,Desenvolvedor Full Stack,283032.00,Denver,Estados Unidos
24,Lucas,Santos,M,01/03/1989,lucas.santos@futurewebtrends.net,01/02/2016,22/10/2022,Esp. em Internet das Coisas (IoT),247656.00,Dresden,Alemanha
25,Pedro,Santos,M,11/03/1990,pedro.santos@techsolutionslab.com,06/08/2020,01/08/2022,Eng. de Dados,161256.00,Dublin,Irlanda
26,Gabriel,Oliveira,M,30/12/1978,gabriel.oliveira@webmasteryexperts.com,26/03/2015,11/05/2022,Esp. em DevOps,291360.00,Eindhoven,Países Baixos
27,JoÃ£o,Souza,M,25/05/1967,joÃ£o.souza@innovatewebtech.net,03/10/2016,05/12/2022,Esp. em Big Data,235584.00,Estocolmo,Suécia
28,Victor,Rodrigues,M,13/04/1976,victor.rodrigues@secureonlinedomains.com,21/11/2013,17/01/2022,Arquiteto de Software,127704.00,Florianópolis,Brasil
29,Rafael,Almeida,M,29/09/1974,rafael.almeida@cloudtechmakers.net,26/04/2020,14/03/2022,Esp. em Realidade Virtual/Realidade Aumentada,156612.00,Fujisawa,Japão
30,Felipe,Costa,M,18/12/1983,felipe.costa@proactivewebsolutions.com,12/06/2011,20/04/2022,Analista de Negócios de TI,161940.00,Genebra,Suíça
31,Marcelo,Pereira,M,27/02/1990,marcelo.pereira@wisedigitalstrategies.com,26/10/2017,13/05/2022,Esp. em Automação de Testes,221304.00,Grenoble,França
32,André,Santos,M,11/09/1984,andré.santos@webgeniuszone.net,23/12/2021,18/02/2023,Esp. em Machine Learning,128916.00,Haifa,Israel
33,Tiago,Fernandes,M,16/07/1977,tiago.fernandes@techtrendmakers.com,12/01/2022,02/02/2022,Esp. em Blockchain,133236.00,Hamburgo,Alemanha
34,Gustavo,Garcia,M,31/10/1979,gustavo.garcia@freshonlinedomains.com,13/06/2022,23/10/2022,Esp. em Cibersegurança,202440.00,Helsinque,Finlândia
35,Carlos,Ribeiro,M,01/04/1989,carlos.ribeiro@digitalstrategylab.net,12/12/2015,05/04/2022,Esp. em Gerenciamento de Projetos de TI,175788.00,Hong Kong,China
36,Eduardo,Nunes,M,30/04/1981,eduardo.nunes@webwizardryexperts.com,11/12/2010,05/10/2022,Analista de Qualidade de Software,223512.00,Houston,Estados Unidos
37,Alex,Carvalho,M,12/01/1972,alex.carvalho@websavvygurus.net,22/09/2021,13/12/2022,Gerente de Operações de TI,295932.00,Hyderabad,Índia
38,Fábio,Lima,M,18/06/1992,fábio.lima@wisewebmasters.com,07/08/2013,03/03/2023,Esp. em Computação em Nuvem Híbrida,121404.00,Jerusalém,Israel
39,Daniel,Araújo,M,08/08/1989,daniel.araújo@prowebsolutionslab.com,21/01/2010,10/06/2022,Esp. em Redes de Computadores,186312.00,Lisboa,Portugal
